date,pH,溶解氧,高锰酸盐指数,总磷,总氮,电导率,浊度
2023/1/1 0:00,0.296650718,0.864665523,0.069507209,0.050363738,0.127468854,0.468447711,0.018191319
2023/1/1 4:00,0.28708134,0.850428816,0.163761567,0.057078903,0.131267092,0.466467859,0.018550573
2023/1/1 8:00,0.277511962,0.844939966,0.165052722,0.04812535,0.136888484,0.46933216,0.007087103
2023/1/1 12:00,0.33492823,0.940823328,0.168926189,0.041410185,0.132178669,0.469473028,0.006107319
2023/1/1 16:00,0.406698565,1,0.122444588,0.044767767,0.124582194,0.469285458,0.011104216
2023/1/1 20:00,0.349282297,0.921955403,0.267484399,0.073866816,0.124582194,0.475282049,0.027760541
2023/1/2 16:00,0.397129187,0.933619211,0.142672692,0.054840515,0.123974476,0.449424265,0.019824292
2023/1/2 20:00,0.339712919,0.862435678,0.17236927,0.059317292,0.123062899,0.451873435,0.016688984
2023/1/3 0:00,0.311004785,0.834819897,0.17236927,0.059317292,0.123062899,0.450545335,0.014827395
2023/1/3 4:00,0.301435407,0.817495712,0.132343447,0.058757694,0.116833789,0.442641929,0.014402822
2023/1/3 8:00,0.296650718,0.810120069,0.182913708,0.043648573,0.11956852,0.442309826,0.018844508
2023/1/3 12:00,0.320574163,0.866552316,0.170432537,0.071628428,0.11668186,0.441067844,0.019497698
2023/1/3 16:00,0.377990431,0.915437393,0.163331181,0.072747622,0.10726223,0.438201029,0.014958033
2023/1/3 20:00,0.315789474,0.860205832,0.055089305,0.047565753,0.109541173,0.44136687,0.021522584
2023/1/4 0:00,0.296650718,0.824699828,0.055089305,0.047565753,0.109541173,0.441904627,0.015545903
2023/1/4 4:00,0.28708134,0.818353345,0.040886594,0.047565753,0.106806442,0.436276116,0.016591006
2023/1/4 8:00,0.28708134,0.813036021,0.106520336,0.045886961,0.106806442,0.441878958,0.01211666
2023/1/4 12:00,0.339712919,0.903259005,0.083494728,0.036373811,0.106806442,0.446811894,0.007544335
2023/1/4 16:00,0.392344498,0.957632933,0.117495158,0.04029099,0.115162565,0.448776767,0.004768281
2023/1/4 20:00,0.354066986,0.888507719,0.104798795,0.039171796,0.110148891,0.452711589,0.013814952
2023/1/5 0:00,0.315789474,0.859176672,0.104798795,0.039171796,0.110148891,0.452246871,0.010581665
2023/1/5 4:00,0.311004785,0.853516295,0.077469335,0.025181869,0.115010635,0.452396912,0.005617427
2023/1/5 8:00,0.301435407,0.854888508,0.174951582,0.031337437,0.115010635,0.450980086,0.008295503
2023/1/5 12:00,0.377990431,0.927787307,0.151495589,0.04029099,0.109541173,0.450601123,0.006042
2023/1/5 16:00,0.449760766,0.968267581,0.134925759,0.03077784,0.110148891,0.449653534,0.007740292
2023/1/5 20:00,0.373205742,0.894168096,0.065203357,0.030218243,0.101944698,0.448784298,0.012312616
2023/1/6 0:00,0.339712919,0.859862779,0.068000861,0.047565753,0.099665755,0.448762169,0.012606551
2023/1/6 4:00,0.33492823,0.857632933,0.161824833,0.047565753,0.10437557,0.44424742,0.01270453
